,movie_name,director_stars,release_year
66,Spider-Man: A New Universe,"Bob Persichetti  ,  Shameik Moore,  Jake Johnson",2018
67,"Dr. Seltsam oder: Wie ich lernte, die Bombe zu lieben","Stanley Kubrick  ,  Peter Sellers,  George C. Scott",1964
68,The Dark Knight Rises,"Christopher Nolan  ,  Christian Bale,  Tom Hardy",2012
69,Oldboy,"Park Chan-wook  ,  Choi Min-sik,  Yoo Ji-tae",2003
70,Joker,"Todd Phillips  ,  Joaquin Phoenix,  Robert De Niro",2019
71,Amadeus,"Milos Forman  ,  F. Murray Abraham,  Tom Hulce",1984
72,Toy Story,"John Lasseter  ,  Tom Hanks,  Tim Allen",1995
73,Inglourious Basterds,"Quentin Tarantino  ,  Brad Pitt,  Diane Kruger",2009
74,Braveheart,"Mel Gibson  ,  Mel Gibson,  Sophie Marceau",1995
75,Coco: Lebendiger als das Leben,"Lee Unkrich  ,  Anthony Gonzalez,  Gael García Bernal",2017
76,Das Boot,"Wolfgang Petersen  ,  Jürgen Prochnow,  Herbert Grönemeyer",1981
77,Top Gun: Maverick,"Joseph Kosinski  ,  Tom Cruise,  Jennifer Connelly",2022
78,Avengers: Endgame,"Anthony Russo  ,  Robert Downey Jr.,  Chris Evans",2019
79,Prinzessin Mononoke,"Hayao Miyazaki  ,  Yôji Matsuda,  Yuriko Ishida",1997
80,Es war einmal in Amerika,"Sergio Leone  ,  Robert De Niro,  James Woods",1984
81,Good Will Hunting: Der gute Will Hunting,"Gus Van Sant  ,  Robin Williams,  Matt Damon",1997
82,Your Name.,"Makoto Shinkai  ,  Ryûnosuke Kamiki,  Mone Kamishiraishi",2016
83,Requiem for a Dream,"Darren Aronofsky  ,  Ellen Burstyn,  Jared Leto",2000
84,Toy Story 3,"Lee Unkrich  ,  Tom Hanks,  Tim Allen",2010
85,Du sollst mein Glücksstern sein,"Stanley Donen  ,  Gene Kelly,  Donald O'Connor",1952
86,3 Idiots,"Rajkumar Hirani  ,  Aamir Khan,  Madhavan",2009
87,Zwischen Himmel und Hölle,"Akira Kurosawa  ,  Toshirô Mifune,  Yutaka Sada",1963
88,Die Rückkehr der Jedi-Ritter,"Richard Marquand  ,  Mark Hamill,  Harrison Ford",1983
89,2001: Odyssee im Weltraum,"Stanley Kubrick  ,  Keir Dullea,  Gary Lockwood",1968
90,Vergiss mein nicht,"Michel Gondry  ,  Jim Carrey,  Kate Winslet",2004
91,Reservoir Dogs: Wilde Hunde,"Quentin Tarantino  ,  Harvey Keitel,  Tim Roth",1992
